label,message
ham,Gimme a few was  &lt;#&gt;  minutes ago
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
ham,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love
ham,Howz that persons story
ham,And he's apparently bffs with carly quick now
ham,And whenever you and i see we can still hook up too.
ham,Hi kindly give us back our documents which we submitted for loan from STAPATI
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,"Hurry up, I've been weed-deficient for like three days"
ham,Hi. I'm always online on yahoo and would like to chat with you someday
ham,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?
ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 
ham,Does uncle timi help in clearing cars
ham,"Sorry, I'll call later"
ham,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.
ham,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
ham,Company is very good.environment is terrific and food is really nice:)
ham,I think steyn surely get one wicket:)
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only
spam,XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only
ham,Hmm thinking lor...
ham,How are you. Just checking up on you
ham,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
ham,Rats. Hey did u ever vote for the next themes?
ham,Kent vale lor... Ü wait 4 me there ar?
ham,Just now saw your message.it k da:)
ham,Dont think so. It turns off like randomlly within 5min of opening
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
ham,"And that is the problem. You walk around in ""julianaland"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad."
ham,Thinking of u ;) x
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
ham,Shall i start from hear.
ham,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
ham,I am not having her number sir
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
ham,Many times we lose our best ones bcoz we are 
ham,"HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX"
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
ham,Its too late:)but its k.wish you the same.
ham,Do you want bold 2 or bb torch
ham,Gam gone after outstanding innings.
ham,But i have to. I like to have love and arrange.
spam,WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm 
ham,Just finished. Missing you plenty
ham,You do your studies alone without anyones help. If you cant no need to study.
ham,"That's fine, I'll bitch at you about it later then"
ham,Yup
ham,Yeah it's jus rite...
ham,I've been trying to reach him without success
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :)
ham,"And very importantly, all we discuss is between u and i only."
ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.
ham,I cant pick the phone right now. Pls send a message
ham,Shuhui has bought ron's present it's a swatch watch...
ham,"Ya tel, wats ur problem.."
ham,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...
ham,"Alright we're hooked up, where you guys at"
ham,Ü still attending da talks?
ham,"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls."
ham,Okie
ham,They finally came to fix the ceiling.
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04
ham,"Ok omw now, you at castor?"
ham,You are a very very very very bad girl. Or lady.
ham,Ya very nice. . .be ready on thursday
ham,That is wondarfull song
ham,"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details"
ham,YO YO YO BYATCH WHASSUP?
spam,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv
ham,She ran off with a younger man. we will make pretty babies together :)
spam,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)"
ham,At what time are you coming.
ham,No prob. I will send to your email.
ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
ham,Just sent it. So what type of food do you like?
ham,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.
ham,Ok.
ham,Ok.
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
ham,Dont worry. I guess he's busy.
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
ham,"I don't think I can get away for a trek that long with family in town, sorry"
ham,Msg me when rajini comes.
ham,Hey what are you doing. Y no reply pa..
ham,Badrith is only for chennai:)i will surely pick for us:)no competition for him.
ham,"Yeah sure, give me a couple minutes to track down my wallet"
ham,Ok no prob
ham,"K I'm ready,  &lt;#&gt; ?"
ham,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park."
ham,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? 
ham,Hi my email address has changed now it is 
ham,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
ham,"Yeah, don't go to bed, I'll be back before midnight"
ham,Alex says he's not ok with you not being ok with it
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
ham,Are you willing to go for aptitude class.
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
ham,Jus finish watching tv... U?
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
ham,So no messages. Had food?
ham,You do what all you like
ham,Have you heard from this week?
ham,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning"
ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.
ham,Enjoy ur life. . Good night
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
ham,No calls..messages..missed calls
ham,So can collect ur laptop?
ham,Long beach lor. Expected... U having dinner now?
spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL
spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS"
ham,It vl bcum more difficult..
ham,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?"
ham,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!
ham,No go. No openings for that room 'til after thanksgiving without an upcharge.
ham,Webpage s not available!
ham,I need details about that online job.
ham,* Am on a train back from northampton so i'm afraid not!
ham,happened here while you were adventuring
ham,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.
ham,"Aight, can you text me the address?"
spam,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost£3.75max 
ham,Should I head straight there or what
ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ"
ham,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!
ham,How are you holding up?
ham,Oh wow thats gay. Will firmware update help
ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. .."
ham,Surely result will offer:)
ham,Are you free now?can i call now?
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic "
ham,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.
spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
ham,"It‘s reassuring, in this crazy world."
ham,i thought we were doing a king of the hill thing there.
ham,If u sending her home first it's ok lor. I'm not ready yet.
ham,Networking job is there.
ham,If you r @ home then come down within 5 min
ham,Ok i msg u b4 i leave my house.
ham,"Yep, at derek's house now, see you Sunday &lt;3"
ham,What you need. You have a person to give na.
ham,"Im in inperialmusic listening2the weirdest track ever byleafcutter john-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
ham,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please "
ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
ham,Oh yah... We never cancel leh... Haha 
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
ham,Any pain on urination any thing else?
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
spam,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription 
ham,"Sorry, I can't text &amp; drive coherently, see you in twenty"
ham,Lmao you know me so well...
ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham,If you're not in my car in an hour and a half I'm going apeshit
ham,I am in hospital da. . I will return home in evening
ham,No da..today also i forgot..
ham,Great! How is the office today?
ham,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?
ham,Well if I'm that desperate I'll just call armand again
ham,Have a good evening! Ttyl
spam,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service"
ham,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love
ham,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up
ham,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
spam,INTERFLORA - It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
ham,Did u receive my msg?
ham,Already one guy loving you:-.
ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
spam,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
ham,I jokin oni lar.. Ü busy then i wun disturb ü.
ham,Ok... But bag again..
ham,Ü got wat to buy tell us then ü no need to come in again.
ham,K:)k:)good:)study well.
ham,Thats cool. i liked your photos. You are very sexy!
ham,"Text me when you get off, don't call, my phones having problems"
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.
ham,Yes..gauti and sehwag out of odi series.
ham,Dunno lei shd b driving lor cos i go sch 1 hr oni.
ham,WHORE YOU ARE UNBELIEVABLE.
ham,Hasn't that been the pattern recently crap weekends?
ham,Did you try making another butt.
ham,Sorry about that this is my mates phone and i didnt write it love Kate
spam,FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
ham,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
ham,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?
ham,Nope. I just forgot. Will show next week
ham,Okay. I've seen it. So i should pick it on friday?
ham,"Hiya, probably coming home * weekend after next"
ham,How much are we getting?
ham,I had askd u a question some hours before. Its answer
spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!"
ham,Much better now thanks lol
ham,Sounds great! Im going to sleep now. Have a good night!
ham,What's a feathery bowa? Is that something guys have that I don't know about?
ham,Ok.ok ok..then..whats ur todays plan
ham,Want to send me a virtual hug?... I need one
spam,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.
ham,Good night my dear.. Sleepwell&amp;Take care
spam,Missed call alert. These numbers called but left no message. 07008009200
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
ham,It's ok i wun b angry. Msg u aft i come home tonight.
ham,Rofl. Its true to its name
ham,"Aight yo, dats straight dogg"
ham,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone"""
ham,Yup next stop.
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
ham,"He will, you guys close?"
ham,I absolutely LOVE South Park! I only recently started watching the office.
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
ham,O. Well uv causes mutations. Sunscreen is like essential thesedays
ham,Cool. So how come you havent been wined and dined before?
ham,Speak only when you feel your words are better than the silence... Gud mrng:-)
ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
ham,DO U WANT 2 MEET UP 2MORRO
ham,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it..."
ham,"Sorry, I'll call later"
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
ham,Why you keeping me away like this
ham,Yeah so basically any time next week you can get away from your mom &amp; get up before 3
ham,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime
ham,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say..."
ham,"Lol, oh you got a friend for the dog ?"
ham,You're gonna have to be way more specific than that
ham,Its  &lt;#&gt; k here oh. Should i send home for sale.
ham,Thank u!
ham,Good morning princess! Have a great day!
ham,Staff of placement training in Amrita college.
ham,Hi! This is Roger from CL. How are you?
ham,says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.
ham,Hey morning what you come to ask:-) pa...
ham,Are you not around or just still asleep? :V
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging 
ham,No one interested. May be some business plan.
ham,Ugh hopefully the asus ppl dont randomly do a reformat.
ham,May b approve panalam...but it should have more posts..
ham,Ok.
ham,Just buy a pizza. Meat lovers or supreme. U get to pick.
ham,Meet after lunch la...
ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training."
ham,Yup song bro. No creative. Neva test quality. He said check review online.
ham,Excellent! Wish we were together right now!
spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D
ham,"Probably not, still going over some stuff here"
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone"
ham,Dai  &lt;#&gt;  naal eruku.
ham,K.i will send in  &lt;#&gt;  min:)
ham,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry"
ham,Shall I bring us a bottle of wine to keep us amused? Only joking! I‘ll bring one anyway
ham,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao..."
ham,"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min"
ham,Ok c ü then.
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
ham,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)"
ham,Got it! It looks scrumptious... daddy wants to eat you all night long!
spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA
ham,Nobody can decide where to eat and dad wants Chinese
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,No:-)i got rumour that you going to buy apartment in chennai:-)
ham,You still coming tonight?
ham,U know we watchin at lido?
spam,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp
ham,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT"
ham,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4..."
ham,Huh so fast... Dat means u havent finished painting?
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl
ham,This pay is  &lt;DECIMAL&gt;  lakhs:)
ham,K..k.:)congratulation ..
ham,Want to finally have lunch today?
ham,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)"
ham,Cuz ibored. And don wanna study
ham,"It,,s a taxt massage....tie-pos argh ok! Lool!"
spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,Am in gobi arts college
spam,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
ham,Jay says that you're a double-faggot
ham,Gud mrng dear have a nice day
ham,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!
ham,when you and derek done with class?
